#,id,coursename,synopsis
1,138,计算机科学导论,计算机科学基础概念和领域介绍
2,139,程序设计基础,C语言编程基础与算法入门
3,140,数据结构,常见数据结构及其算法实现
4,141,算法设计与分析,算法设计方法与复杂度分析
5,142,操作系统原理,操作系统核心概念与实现原理
6,143,计算机网络,网络协议、体系结构和互联网技术
7,144,数据库系统原理,关系数据库设计与SQL语言
8,145,软件工程,软件开发流程与方法论
9,146,计算机组成原理,计算机硬件组成与工作原理
10,147,编译原理,程序设计语言编译过程与技术
11,148,人工智能基础,人工智能基本概念与算法
12,149,机器学习,机器学习基本算法与应用
13,150,Web前端开发,HTML/CSS/JavaScript前端技术
14,151,Java程序设计,Java语言特性与面向对象编程
15,152,Python编程,Python语言基础与数据分析应用
16,153,Linux系统应用,Linux操作系统使用与Shell编程
17,154,计算机安全基础,信息安全基本概念与防护技术
18,155,大数据技术基础,大数据处理框架与技术生态
19,156,云计算概论,云计算基本概念与服务模型
20,157,移动应用开发,Android/iOS应用开发基础
