#,id,title,author,content,type,releasedate
1,10,新学期开学通知,教务处,根据校历安排，2023-2024学年第一学期将于9月1日正式开学，请全体师生做好开学准备。,1,2023-08-25
2,11,计算机科学导论课程调整,张明华,原定于周三上午的计算机科学导论课程临时调整至周四下午同一教室，请同学们相互转告。,2,2023-09-10
3,12,图书馆开放时间变更,图书馆,自10月1日起，图书馆开放时间调整为：周一至周日8:00-22:00，节假日另行通知。,1,2023-09-28
4,13,期中考试安排,教务处,期中考试将于11月6日-11月10日进行，具体考场安排请登录教务系统查询。,1,2023-10-20
5,14,程序设计大赛报名通知,计算机系,2023年校园程序设计大赛开始报名，截止日期10月30日，详情见计算机系公告栏。,3,2023-10-15
6,15,实验室安全须知,实验室管理处,即日起所有进入实验室人员必须佩戴胸卡，遵守实验室安全规范，违者将取消使用资格。,1,2023-09-05
7,16,寒假放假安排,校办公室,本学期寒假时间为1月15日至2月25日，2月26日正式上课。,1,2023-12-20
8,17,优秀教师评选结果公示,人事处,2023年度优秀教师评选结果已公示，详见学校官网通知公告栏。,2,2025-07-17
9,18,数据结构课程补考通知,李静,数据结构课程补考定于3月5日上午9:00在A301教室进行，请相关同学准时参加。,1,2025-07-17
10,19,校园网络升级维护,信息中心,3月10日0:00-6:00校园网络将进行升级维护，期间网络服务将中断。,1,2024-03-05
11,20,毕业论文开题报告提交,教务处,2024届毕业生请于4月1日前提交毕业论文开题报告，逾期将影响答辩资格。,3,2024-03-15
12,21,五一劳动节放假通知,校办公室,根据国家规定，5月1日至5日放假调休，4月28日、5月11日正常上班上课。,1,2024-04-20
13,22,校园招聘会邀请函,就业指导中心,2024年春季校园招聘会将于5月15日在体育馆举行，欢迎各用人单位参加。,1,2024-04-25
14,23,期末考试纪律要求,教务处,期末考试期间将加强考场纪律检查，请同学们自觉遵守考试纪律，诚信应考。,1,2024-06-01
15,24,暑假社会实践申报,团委,2024年暑假社会实践项目申报开始，截止日期6月20日，详情咨询各班级辅导员。,3,2024-06-05
16,25,教材征订通知,教材科,2024-2025学年第一学期教材征订工作开始，请各班级学习委员于6月30日前提交订单。,2,2024-06-15
17,26,新生报到指南,学生处,2024级新生请于9月1日-2日携带录取通知书等相关材料到校报到，具体流程见附件。,1,2024-08-10
18,27,教师节庆祝活动,工会,9月10日下午3:00在礼堂举行教师节庆祝活动，请全体教职工准时参加。,1,2024-09-05
19,28,国家奖学金评选通知,学生资助中心,2023-2024学年国家奖学金评选工作开始，申请材料提交截止日期9月30日。,3,2024-09-15
20,29,国庆节放假安排,校办公室,10月1日至7日放假调休，9月29日、10月12日正常上班上课。,1,2024-09-20
