#,id,eas_role_id,eas_permission_id
1,404,2,18
2,405,2,10
3,406,2,13
4,407,2,24
5,408,2,19
6,409,2,20
7,410,2,25
8,411,2,26
9,412,2,30
10,413,2,36
11,414,2,37
12,415,2,38
13,416,2,39
14,417,2,43
15,418,2,45
16,419,2,51
17,420,2,53
18,421,3,18
19,422,3,10
20,423,3,24
21,424,3,19
22,425,3,20
23,426,3,23
24,427,3,25
25,428,3,26
26,429,3,30
27,430,3,40
28,431,3,41
29,432,3,42
30,433,3,46
31,434,3,43
32,435,3,44
33,436,3,51
34,437,3,52
35,438,3,53
36,444,5,1
37,445,5,47
38,446,5,48
39,447,5,49
40,448,5,50
41,449,5,51
42,450,5,52
43,451,5,53
44,452,6,30
45,453,6,31
46,454,6,32
47,455,6,33
48,456,6,34
49,457,6,35
50,458,6,51
51,459,6,52
52,460,6,53
53,461,1,1
54,462,1,2
55,463,1,3
56,464,1,4
57,465,1,5
58,466,1,6
59,467,1,7
60,468,1,8
61,469,1,9
62,470,1,14
63,471,1,15
64,472,1,16
65,473,1,17
66,474,1,47
67,475,1,48
68,476,1,49
69,477,1,50
70,478,1,18
71,479,1,10
72,480,1,11
73,481,1,12
74,482,1,13
75,483,1,24
76,484,1,19
77,485,1,20
78,486,1,21
79,487,1,22
80,488,1,23
81,489,1,25
82,490,1,26
83,491,1,27
84,492,1,28
85,493,1,29
86,494,1,54
87,495,1,55
88,496,1,56
89,497,1,57
90,498,1,58
91,499,1,30
92,500,1,31
93,501,1,32
94,502,1,33
95,503,1,34
96,504,1,35
97,505,1,51
98,506,1,52
99,507,1,53
